id,course_title,course_organization,course_certificate_type,course_rating,course_difficulty,course_students_enrolled,course_tag
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,Security
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,Academic;Data Science
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,Johns Hopkins University;Academic;Data Science;Science
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,Yale University;Academic;Top University
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,Online Learning
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,Academic
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,deeplearning.ai;Artificial Intelligence
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,deeplearning.ai;Artificial Intelligence;Medical
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,IBM;Industry Leader;Artificial Intelligence
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,deeplearning.ai;Artificial Intelligence;Medical
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,deeplearning.ai;Artificial Intelligence;Medical
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,deeplearning.ai;Artificial Intelligence;Medicine
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,Amazon;Industry Leader;AWS
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,Amazon;Industry Leader;Security;AWS
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,Amazon;Industry Leader;AWS
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,Amazon;Industry Leader;Cloud Computing;AWS
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,Amazon;Industry Leader;Cloud Computing;AWS
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,Academic
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,Academic;English;Writing
